s_ID,name,language,genre
SO343,This Is Love,English,Pop
SO344,Where I Am,English,Pop
SO345,Gravity,English,Pop
SO346,Flashlight,English,Pop
SO347,I Feel Alive,English,Pop
SO348,Time,English,Rock
SO349,Perfect Life,English,Pop
SO350,Do It for Your Lover,"Spanish, English",Pop
SO351,Keep the Faith,English,Pop
SO352,World,English,Pop
SO353,Space,English,Pop
SO354,Blackbird,English,Ballad
SO355,Paper,English,Pop
SO356,My Turn,English,Pop
SO357,On My Way,English,Ballad
SO358,Line,English,Pop
SO359,In Too Deep,English,Pop
SO360,Dance Alone,English,Pop
SO361,Breathlessly,English,Ballad
SO362,Dying to Try,English,Ballad
SO363,Spirit of the Night,English,Pop
SO364,Apollo,English,Pop
SO365,Rain of Revolution,English,Pop
SO366,Verona,English,Pop
SO367,Toy,English,Pop
SO368,Fuego,English,Pop
SO369,Nobody but You,English,Pop
SO370,You Let Me Walk Alone,English,Pop
SO371,Non mi avete fatto niente,Italian,Pop
SO372,Lie to Me,English,Pop
SO373,Dance You Off,English,Pop
SO374,La forza,Italian,Opera
SO375,Higher Ground,English,Traditional
SO376,My Lucky Day,English,Pop
SO377,Mall,Albanian,Rock
SO378,When We're Old,English,Ballad
SO379,Mercy,French,Pop
SO380,Bones,English,Pop
SO381,That's How You Write a Song,English,Pop
SO382,Together,English,Traditional
SO383,Under the Ladder,English,Dance
SO384,Outlaw in 'Em,English,Rock
SO385,Nova deca,Serbian,Traditional
SO386,We Got Love,English,Pop
SO387,Viszlat nyar,Hungarian,Rock
SO388,"Hvala, ne!",Slovene,Pop
SO389,Tu canciOn,Spanish,Pop
SO390,Storm,English,Pop
SO391,Monsters,English,Pop
SO392,O jardim,Portuguese,Pop
SO393,X My Heart,English,Pop
SO394,Our Choice,English,Ballad
SO395,A Matter of Time,English,Pop
SO396,Forever,English,Ballad
SO397,Lost and Found,English,Pop
SO398,Crazy,English,Pop
SO399,Oniro mou,Greek,Pop
SO400,Qami,Armenian,Pop
SO401,Stones,English,Pop
SO402,Goodbye,English,Pop
SO403,Who We Are,English,Pop
SO404,I Won't Break,English,Pop
SO405,For You,Georgian,Pop
SO406,Light Me Up,English,Dance
SO407,Taboo,English,Pop
SO408,Funny Girl,English,Pop
SO409,Inje,Montenegrin,Rock
SO410,Arcade,English,Ballad
SO411,Soldi,Italian,Pop
SO412,Scream,English,Ballad
SO413,She Got Me,English,Dance
SO414,Too Late for Love,English,Ballad
SO415,Spirit in the Sky,English,Dance
SO416,Proud,English,Ballad
SO417,Truth,English,Pop
SO418,Zero Gravity,English,Opera
SO419,Hatrio mun sigra,Icelandic,Dance
SO420,Friend of a Friend,English,Pop
SO421,Love Is Forever,"English, French",Pop
SO422,Replay,English,Dance
SO423,Chameleon,English,Pop
SO424,Sebi,Slovene,Ballad
SO425,Roi,"French, English",Pop
SO426,Ktheju tokes,Albanian,Traditional
SO427,Kruna,Serbian,Ballad
SO428,Say Na Na Na,English,Dance
SO429,Storm,English,Pop
SO430,Better Love,English,Pop
SO431,La Venda,Spanish,Pop
SO432,Home,English,Ballad
SO433,Like It,English,Dance
SO434,Sister,English,Ballad
SO435,Bigger than Us,English,Ballad
SO436,Heaven,English,Pop
SO437,Look Away,English,Dance
SO438,Fire of Love,"Polish, English",Traditional
SO439,Az en apam,Hungarian,Ballad
SO440,Wake Up,English,Ballad
SO441,Keep on Going,Georgian,Traditional
SO442,TelemOveis,Portuguese,Traditional
SO443,Walking Out,English,Pop
SO444,22,English,Pop
SO445,Stay,English,Ballad
SO446,That Night,English,Pop
SO447,On a Sunday,English,Pop
SO448,Limits,English,Ballad
SO449,The Dream,"English, Croatian",Ballad
SO450,Run with the Lions,English,Pop
SO451,Move,English,Dance
SO452,Da vidna,Belarusian,Traditional
SO453,Don't Break Me,English,Ballad
SO454,You,English,Ballad
SO455,Voda,Slovene,Ballad
SO456,On Fire,English,Dance
SO457,Story of My Life,English,Ballad
SO458,Uno,English,Dance
SO459,Release Me,English,Ballad
SO460,All of My Love,English,Ballad
SO461,Divlji vjetre,Croatian,Traditional
SO462,Cleopatra,English,Pop
SO463,Running,English,Ballad
SO464,Attention,English,Pop
SO465,Feker Libi,"English, Amharic",Traditional
SO466,Alcohol You,English,Ballad
SO467,Solovey,Ukranian,Traditional
SO468,Supergirl,English,Ballad
SO469,What Love Is,English,Ballad
SO470,Alive,English,Dance
SO471,Prison,English,Pop
SO472,Freaky!,English,Dance
SO473,Kemama,English,Traditional
SO474,Hasta la vista,Serbian,Dance
SO475,Empires,English,Ballad
SO476,Think About Things,English,Pop
SO477,Répondez-moi,French,Ballad
SO478,Yes,English,Dance
SO479,Fall from the Sky,English,Ballad
SO480,Looking Back,English,Ballad
SO481,Chains on You,English,Pop
SO482,Medo de sentir,Portuguese,Ballad
SO483,Take Me as I Am,English,Ballad
SO484,Tears Getting Sober,English,Ballad
SO485,Still Breathing,English,Ballad
SO486,Fai rumore,Italian,Ballad
SO487,Grow,English,Pop
SO488,Mon alliée (The Best in Me),"French, English",Ballad
SO489,My Last Breath,English,Ballad
SO490,Universo,Spanish,Dance
SO491,Violent Thing,English,Rock
SO492,Zitti e buoni,Italian,Rock
SO493,Voila,French,Ballad
SO494,Tout l'univers,French,Ballad
SO495,Shum,Ukrainian,Traditional
SO496,Dark Side,English,Rock
SO497,Je me casse,English,Pop
SO498,Discoteque,English,Dance
SO499,Russian Woman,"Russian, English",Traditional
SO500,Last Dance,English,Pop
SO501,Growing Up Is Getting Old,English,Ballad
SO502,Birth of a New Age,"English, Sranan Tongo",Ballad
SO503,Love Is on My Side,English,Traditional
SO504,Sugar,English,Pop
SO505,Voices,English,Pop
SO506,Loco Loco,Serbian,Pop
SO507,El Diablo,English,Pop
SO508,Set Me Free,English,Pop
SO509,Fallen Angel,English,Pop
SO510,The Wrong Place,English,Ballad
SO511,Mata Hari,English,Pop
SO512,Karma,Albanian,Ballad
SO513,Voy a quedarme,Spanish,Ballad
SO514,I Don't Feel Hate,English,Pop
SO515,Embers,English,Pop
SO516,Amen,English,Ballad
SO517,Technicolour,English,Pop
SO518,Here I Stand,English,Ballad
SO519,Maps,English,Pop
SO520,Tick-Tock,"English, Croatian",Pop
SO521,Amnesia,English,Ballad
SO522,Adrenalina,English,Dance
SO523,The Lucky One,English,Ballad
SO524,Omaga,English,Ballad
SO525,Amen,English,Ballad
SO526,The Ride,English,Pop
SO527,10 Years,English,Pop
SO528,You,English,Ballad
SO529,The Moon Is Rising,English,Ballad
SO530,Ove os pa hinanden,Danish,Pop
SO531,Stefania,Ukrainian,Traditional
SO532,Space Man,English,Pop
SO533,SloMo,"Spanish, English",Pop
SO534,Hold Me Closer,English,Ballad
SO535,In corpore sano,"Serbian, Latin",Traditional
SO536,Brividi,Italian,Ballad
SO537,Trenuletul,"Romanian, English",Traditional
SO538,Die Together,English,Ballad
SO539,"Saudade, saudade","English, Portuguese",Ballad
SO540,Give That Wolf a Banana,English,Pop
SO541,De diepte,Dutch,Ballad
SO542,River,English,Ballad
SO543,Hope,English,Pop
SO544,Sentimentai,Lithuanian,Ballad
SO545,Not the Same,English,Ballad
SO546,Fade to Black,English,Ballad
SO547,Boys Do Cry,English,Ballad
SO548,Llamame,"English, Spanish",Pop
SO549,Miss You,English,Pop
SO550,Snap,English,Ballad
SO551,Jezebel,English,Rock
SO552,Lights Off,English,Dance
SO553,Meo aekkandi sol,Icelandic,Traditional
SO554,Fulenn,Breton,Traditional
SO555,Rockstars,English,Ballad
SO556,Sekret,"Albanian, English",Pop
