s_ID,song_name,country,artist,p_year,final_place,performance_vid
S044,Birds,Netherlands,Anouk,2013,9,https://youtube.com/watch?v=n5iazXvMw5o
S045,Birth Of A New Age,Netherlands,Jeangu Macrooy,2021,23,https://youtube.com/watch?v=o3Da5cr2fTs
S046,Bistra Voda,Bosnia and Herzegovina,Regina,2009,9,https://youtube.com/watch?v=1770jHxvYi0
S047,Black Smoke,Germany,Ann Sophie,2015,27,https://youtube.com/watch?v=DGMJOchTRPc
S048,Blackbird,Finland,Norma John,2017,30,https://youtube.com/watch?v=Ufba0nOz0fQ
S049,Blood & Glitter,Germany,Lord Of The Lost,2023,26,https://youtube.com/watch?v=5I9CYu668jA
S050,Blue and Red,Slovenia,ManuElla,2016,33,https://youtube.com/watch?v=ulI3F1T82is
S051,Bones,Bulgaria,Equinox,2018,14,https://youtube.com/watch?v=vC-1tdGDFQc
S052,Boom Boom,Armenia,Emmy,2011,27,https://youtube.com/watch?v=zqJD7fPSWAc
S053,Boys Do Cry,Switzerland,Marius Bear,2022,17,https://youtube.com/watch?v=hq2HCmHv5p4
S054,Break a Broken Heart,Cyprus,Andrew Lambrou,2023,12,https://youtube.com/watch?v=zrFUKqTy4zI
S055,Breaking My Heart,Denmark,Reiley,2023,33,https://youtube.com/watch?v=04C8E7PUMQo
S056,Breathe,Montenegro,Vladana,2022,37,https://youtube.com/watch?v=L-ViRVRiGl0
S057,Breathlessly,Malta,Claudia Faniello,2017,38,https://youtube.com/watch?v=OXn-Ettr7yk
S058,Bridges,Estonia,Alika,2023,8,https://youtube.com/watch?v=wO9g5t3VSuw
S059,Brividi,Italy,Mahmood & Blanco,2022,6,https://youtube.com/watch?v=blEy4xHuMbY
S060,Burning Daylight,Netherlands,Mia Nicolai & Dion Cooper,2023,32,https://youtube.com/watch?v=UOf-oKDlO6A
S061,Butterflies,Belarus,3+2,2010,24,https://youtube.com/watch?v=5e0FQkgnm4Q
S062,Cake To Bake,Latvia,Aarzemnieki,2014,32,https://youtube.com/watch?v=h0D1Ya3NBQs
S063,Calm After The Storm,Netherlands,The Common Linnets,2014,2,https://youtube.com/watch?v=4ggBPAm5XLA
S064,Carpe Diem,Slovenia,Joker Out,2023,21,https://youtube.com/watch?v=zDBSIGITdY4
S065,Carry Me In Your Dreams,Albania,Kejsi Tola,2009,17,https://youtube.com/watch?v=w6Ori4A4ATo
S066,Celebrate,Croatia,Daria,2011,34,https://youtube.com/watch?v=wTJzolnObu0
S067,C'est Ma Vie,Lithuania,Evelina Saaenko,2011,19,https://youtube.com/watch?v=S3_aSVE4t3M
S068,Cha Cha Cha,Finland,Kaarija,2023,2,https://youtube.com/watch?v=rNrgQm5z07U
S069,Chain Of Lights,San Marino,Michele Perniola & Anita Simoncini,2015,39,https://youtube.com/watch?v=FE1KJYNvVAE
S070,Chains On You,Armenia,Athena Manoukian,2020,,https://youtube.com/watch?v=XpQHGMM8c5U
S071,Chameleon,Malta,Michela Pace,2019,14,https://youtube.com/watch?v=H-byNyainRA
S072,Change,Romania,Hotel FM,2011,17,https://youtube.com/watch?v=2a1Q_hpGLbs
S073,Cheesecake,Belarus,Teo,2014,16,https://youtube.com/watch?v=tImGMW-4eHY
S074,Children of the Universe,United Kingdom,Molly,2014,17,https://youtube.com/watch?v=C6w7tmWvm6M
S075,Cipela,Serbia,Marko Kon & Milaan,2009,26,https://youtube.com/watch?v=DRObP8XE4Ko
S076,Circles,North Macedonia,Andrea,2022,27,https://youtube.com/watch?v=zvOihqB4eKk
S077,City Lights,Belgium,Blanche,2017,4,https://youtube.com/watch?v=oxsCmChDYwA
S078,Cleopatra,Azerbaijan,Samira Efendi,2020,,https://youtube.com/watch?v=I0VzBCvO1Wk
S079,Cliche Love Song,Denmark,Basim,2014,9,https://youtube.com/watch?v=jnCTsJkieY4
S080,Color of Your Life,Poland,Michaa‚ Szpak,2016,8,https://youtube.com/watch?v=87BBmxm7IJU
S081,Coming Home,Iceland,Sjonni's Friends,2011,20,https://youtube.com/watch?v=apc_qJf3nws
S082,Coming Home,Malta,Firelight,2014,23,https://youtube.com/watch?v=E_hT08vzHt8
S083,Copycat,Belgium,Copycat,2009,41,https://youtube.com/watch?v=8qVdSbiYT8w
S084,Crazy,Croatia,Franka,2018,38,https://youtube.com/watch?v=YxBLFbW5BqE
S085,Crisalide (Vola),San Marino,Valentina Monetta,2013,28,https://youtube.com/watch?v=YirZIBi2vnY
S086,Crno I Belo,North Macedonia,Kaliopi,2012,13,https://youtube.com/watch?v=MSuCdNEy9w0
S087,D.G.T. (Off and On),Romania,Theodor Andrei,2023,36,https://youtube.com/watch?v=B0fvqAyKPss
S088,Da Da Dam,Finland,Paradise Oskar,2011,21,https://youtube.com/watch?v=1Fj9of4IzFU
S089,Da vidna,Belarus,VAL,2020,,https://youtube.com/watch?v=F0wfxz5zq04
S090,Dance (Our Own Party),Malta,The Busker,2023,35,https://youtube.com/watch?v=Apqwl0ayL6A
S091,Dance Alone,North Macedonia,Jana Buraeska,2017,35,https://youtube.com/watch?v=XvIbLOOWfYI
S092,Dance With Me,Hungary,Zoli adok,2009,34,https://youtube.com/watch?v=Xd4vRC5ZdLI
S093,Dance You Off,Sweden,Benjamin Ingrosso,2018,7,https://youtube.com/watch?v=z101xtUBflU
S094,Dancing in the rain,Spain,Ruth Lorenzo,2014,10,https://youtube.com/watch?v=-OtuM3Zvkeo
S095,Dark Side,Finland,Blind Channel,2021,6,https://youtube.com/watch?v=fOPGxQ4fgVw
S096,De Diepte,Netherlands,S10,2022,11,https://youtube.com/watch?v=sgOnu7ux2-k
S097,Die Together,Greece,Amanda Georgiadi Tenfjord,2022,8,https://youtube.com/watch?v=BWeT0nJpB3Y
S098,Ding Dong,Israel,Dana International,2011,35,https://youtube.com/watch?v=bWVuuvqEArE
S099,Discoteque,Lithuania,The Roop,2021,8,
S100,Disko,Slovenia,LPS,2022,40,https://youtube.com/watch?v=S1tFqoflsT8
