vote_ID,year,from_country,to_country,points
V07330,2009,Republic of Ireland,France,3
V07331,2009,Republic of Ireland,Bosnia and Herzegovina,0
V07332,2009,Republic of Ireland,Armenia,0
V07333,2009,Republic of Ireland,Russia,0
V07334,2009,Republic of Ireland,Ukraine,0
V07335,2009,Republic of Ireland,Denmark,4
V07336,2009,Republic of Ireland,Moldova,0
V07337,2009,Republic of Ireland,Portugal,0
V07338,2009,Republic of Ireland,Israel,0
V07339,2009,Republic of Ireland,Albania,0
V07340,2009,Republic of Ireland,Croatia,0
V07341,2009,Republic of Ireland,Romania,2
V07342,2009,Republic of Ireland,Germany,1
V07343,2009,Republic of Ireland,Sweden,0
V07344,2009,Republic of Ireland,Malta,5
V07345,2009,Republic of Ireland,Lithuania,7
V07346,2009,Republic of Ireland,Spain,0
V07347,2009,Republic of Ireland,Finland,0
V07348,2010,Republic of Ireland,Germany,8
V07349,2010,Republic of Ireland,Turkey,1
V07350,2010,Republic of Ireland,Romania,7
V07351,2010,Republic of Ireland,Denmark,12
V07352,2010,Republic of Ireland,Azerbaijan,3
V07353,2010,Republic of Ireland,Belgium,10
V07354,2010,Republic of Ireland,Armenia,0
V07355,2010,Republic of Ireland,Greece,0
V07356,2010,Republic of Ireland,Georgia,5
V07357,2010,Republic of Ireland,Ukraine,0
V07358,2010,Republic of Ireland,Russia,0
V07359,2010,Republic of Ireland,France,6
V07360,2010,Republic of Ireland,Serbia,0
V07361,2010,Republic of Ireland,Israel,0
V07362,2010,Republic of Ireland,Spain,0
V07363,2010,Republic of Ireland,Albania,0
V07364,2010,Republic of Ireland,Bosnia and Herzegovina,0
V07365,2010,Republic of Ireland,Portugal,0
V07366,2010,Republic of Ireland,Iceland,0
V07367,2010,Republic of Ireland,Norway,2
V07368,2010,Republic of Ireland,Cyprus,0
V07369,2010,Republic of Ireland,Moldova,0
V07370,2010,Republic of Ireland,Republic of Ireland,0
V07371,2010,Republic of Ireland,Belarus,0
V07372,2010,Republic of Ireland,United Kingdom,4
V07373,2011,Republic of Ireland,Azerbaijan,0
V07374,2011,Republic of Ireland,Italy,5
V07375,2011,Republic of Ireland,Sweden,4
V07376,2011,Republic of Ireland,Ukraine,0
V07377,2011,Republic of Ireland,Denmark,12
V07378,2011,Republic of Ireland,Bosnia and Herzegovina,0
V07379,2011,Republic of Ireland,Greece,0
V07380,2011,Republic of Ireland,Republic of Ireland,0
V07381,2011,Republic of Ireland,Georgia,0
V07382,2011,Republic of Ireland,Germany,0
V07383,2011,Republic of Ireland,United Kingdom,6
V07384,2011,Republic of Ireland,Moldova,8
V07385,2011,Republic of Ireland,Slovenia,2
V07386,2011,Republic of Ireland,Serbia,0
V07387,2011,Republic of Ireland,France,0
V07388,2011,Republic of Ireland,Russia,0
V07389,2011,Republic of Ireland,Romania,1
V07390,2011,Republic of Ireland,Austria,0
V07391,2011,Republic of Ireland,Lithuania,10
V07392,2011,Republic of Ireland,Iceland,0
V07393,2011,Republic of Ireland,Finland,3
V07394,2011,Republic of Ireland,Hungary,0
V07395,2011,Republic of Ireland,Spain,0
V07396,2011,Republic of Ireland,Estonia,7
V07397,2011,Republic of Ireland,Switzerland,0
V07398,2012,Republic of Ireland,Sweden,12
V07399,2012,Republic of Ireland,Russia,6
V07400,2012,Republic of Ireland,Serbia,0
V07401,2012,Republic of Ireland,Azerbaijan,1
V07402,2012,Republic of Ireland,Albania,0
V07403,2012,Republic of Ireland,Estonia,8
V07404,2012,Republic of Ireland,Turkey,0
V07405,2012,Republic of Ireland,Germany,10
V07406,2012,Republic of Ireland,Italy,2
V07407,2012,Republic of Ireland,Spain,0
V07408,2012,Republic of Ireland,Moldova,0
V07409,2012,Republic of Ireland,Romania,5
V07410,2012,Republic of Ireland,North Macedonia,0
V07411,2012,Republic of Ireland,Lithuania,7
V07412,2012,Republic of Ireland,Ukraine,3
V07413,2012,Republic of Ireland,Cyprus,0
V07414,2012,Republic of Ireland,Greece,0
V07415,2012,Republic of Ireland,Bosnia and Herzegovina,0
V07416,2012,Republic of Ireland,Republic of Ireland,0
V07417,2012,Republic of Ireland,Iceland,0
V07418,2012,Republic of Ireland,Malta,0
V07419,2012,Republic of Ireland,France,0
V07420,2012,Republic of Ireland,Denmark,0
V07421,2012,Republic of Ireland,Hungary,0
V07422,2012,Republic of Ireland,United Kingdom,4
V07423,2012,Republic of Ireland,Norway,0
V07424,2013,Republic of Ireland,Denmark,12
V07425,2013,Republic of Ireland,Azerbaijan,2
V07426,2013,Republic of Ireland,Ukraine,8
V07427,2013,Republic of Ireland,Norway,0
V07428,2013,Republic of Ireland,Russia,10
V07429,2013,Republic of Ireland,Greece,0
V07430,2013,Republic of Ireland,Italy,0
V07431,2013,Republic of Ireland,Malta,0
V07432,2013,Republic of Ireland,Netherlands,6
V07433,2013,Republic of Ireland,Hungary,0
V07434,2013,Republic of Ireland,Moldova,3
V07435,2013,Republic of Ireland,Belgium,4
V07436,2013,Republic of Ireland,Romania,0
V07437,2013,Republic of Ireland,Sweden,5
V07438,2013,Republic of Ireland,Georgia,0
V07439,2013,Republic of Ireland,Belarus,0
V07440,2013,Republic of Ireland,Iceland,0
V07441,2013,Republic of Ireland,Armenia,0
V07442,2013,Republic of Ireland,United Kingdom,7
V07443,2013,Republic of Ireland,Estonia,0
V07444,2013,Republic of Ireland,Germany,0
V07445,2013,Republic of Ireland,Lithuania,1
V07446,2013,Republic of Ireland,France,0
V07447,2013,Republic of Ireland,Finland,0
V07448,2013,Republic of Ireland,Spain,0
V07449,2013,Republic of Ireland,Republic of Ireland,0
V07450,2014,Republic of Ireland,Austria,12
V07451,2014,Republic of Ireland,Netherlands,10
V07452,2014,Republic of Ireland,Sweden,4
V07453,2014,Republic of Ireland,Armenia,0
V07454,2014,Republic of Ireland,Hungary,1
V07455,2014,Republic of Ireland,Ukraine,0
V07456,2014,Republic of Ireland,Russia,0
V07457,2014,Republic of Ireland,Norway,7
V07458,2014,Republic of Ireland,Denmark,0
V07459,2014,Republic of Ireland,Spain,6
V07460,2014,Republic of Ireland,Finland,0
V07461,2014,Republic of Ireland,Romania,2
V07462,2014,Republic of Ireland,Switzerland,5
V07463,2014,Republic of Ireland,Poland,0
V07464,2014,Republic of Ireland,Iceland,0
V07465,2014,Republic of Ireland,Belarus,0
V07466,2014,Republic of Ireland,United Kingdom,8
V07467,2014,Republic of Ireland,Germany,0
V07468,2014,Republic of Ireland,Montenegro,0
V07469,2014,Republic of Ireland,Greece,0
V07470,2014,Republic of Ireland,Italy,0
V07471,2014,Republic of Ireland,Azerbaijan,0
V07472,2014,Republic of Ireland,Malta,3
V07473,2014,Republic of Ireland,San Marino,0
V07474,2014,Republic of Ireland,Slovenia,0
V07475,2014,Republic of Ireland,France,0
V07476,2015,Republic of Ireland,Sweden,10
V07477,2015,Republic of Ireland,Russia,8
V07478,2015,Republic of Ireland,Italy,6
V07479,2015,Republic of Ireland,Belgium,2
V07480,2015,Republic of Ireland,Australia,5
V07481,2015,Republic of Ireland,Latvia,12
V07482,2015,Republic of Ireland,Estonia,0
V07483,2015,Republic of Ireland,Norway,4
V07484,2015,Republic of Ireland,Israel,0
V07485,2015,Republic of Ireland,Serbia,0
V07486,2015,Republic of Ireland,Georgia,0
V07487,2015,Republic of Ireland,Azerbaijan,0
V07488,2015,Republic of Ireland,Montenegro,0
V07489,2015,Republic of Ireland,Slovenia,0
V07490,2015,Republic of Ireland,Romania,0
V07491,2015,Republic of Ireland,Armenia,0
V07492,2015,Republic of Ireland,Albania,0
V07493,2015,Republic of Ireland,Lithuania,7
V07494,2015,Republic of Ireland,Greece,0
V07495,2015,Republic of Ireland,Hungary,0
V07496,2015,Republic of Ireland,Spain,0
V07497,2015,Republic of Ireland,Cyprus,0
V07498,2015,Republic of Ireland,Poland,3
V07499,2015,Republic of Ireland,United Kingdom,1
V07500,2015,Republic of Ireland,France,0
V07501,2015,Republic of Ireland,Austria,0
V07502,2015,Republic of Ireland,Germany,0
V07503,2016,Republic of Ireland,Ukraine,4
V07504,2016,Republic of Ireland,Australia,6
V07505,2016,Republic of Ireland,Russia,8
V07506,2016,Republic of Ireland,Bulgaria,15
V07507,2016,Republic of Ireland,Sweden,7
V07508,2016,Republic of Ireland,France,3
V07509,2016,Republic of Ireland,Armenia,0
V07510,2016,Republic of Ireland,Poland,10
V07511,2016,Republic of Ireland,Lithuania,12
V07512,2016,Republic of Ireland,Belgium,12
V07513,2016,Republic of Ireland,Netherlands,8
V07514,2016,Republic of Ireland,Malta,0
V07515,2016,Republic of Ireland,Austria,1
V07516,2016,Republic of Ireland,Israel,4
V07517,2016,Republic of Ireland,Latvia,8
V07518,2016,Republic of Ireland,Italy,6
V07519,2016,Republic of Ireland,Azerbaijan,0
V07520,2016,Republic of Ireland,Serbia,0
V07521,2016,Republic of Ireland,Hungary,0
V07522,2016,Republic of Ireland,Georgia,0
V07523,2016,Republic of Ireland,Cyprus,0
V07524,2016,Republic of Ireland,Spain,0
V07525,2016,Republic of Ireland,Croatia,0
V07526,2016,Republic of Ireland,United Kingdom,10
V07527,2016,Republic of Ireland,Czech Republic,2
V07528,2016,Republic of Ireland,Germany,0
V07529,2017,Republic of Ireland,Portugal,15
